Compound No.,Potentials,Sensitized,Differencies
70-001,1.0,2,-1.0
70-002,1.0,2,-1.0
70-003,1.0,1,0.0
70-004,3.0,4,-1.0
70-005,1.0,1,0.0
70-006,0.0,1,-1.0
70-007,1.0,1,0.0
70-008,2.0,3,-1.0
70-009,1.0,2,-1.0
70-010,0.0,1,-1.0
70-011,2.0,3,-1.0
70-012,3.0,4,-1.0
70-013,0.0,1,-1.0
70-014,7.0,1,6.0
70-016,1.0,2,-1.0
70-018,1.0,1,0.0
70-020,1.0,2,-1.0
70-022,3.0,4,-1.0
70-023,3.0,1,2.0
70-024,1.0,2,-1.0
70-025,1.0,1,0.0
70-028,1.0,1,0.0
70-030,1.0,1,0.0
70-032,1.0,2,-1.0
70-033,0.0,1,-1.0
70-034,0.0,1,-1.0
70-035,0.0,1,-1.0
70-036,0.0,1,-1.0
70-037,1.0,1,0.0
70-038,1.0,1,0.0
70-039,0.0,1,-1.0
70-040,3.0,4,-1.0
70-041,0.0,1,-1.0
70-042,1.0,3,-2.0
70-043,1.0,2,-1.0
70-044,2.0,1,1.0
70-046,0.0,1,-1.0
70-047,4.0,5,-1.0
70-050,2.0,3,-1.0
70-052,1.0,2,-1.0
70-053,1.0,2,-1.0
70-054,0.0,1,-1.0
70-055,2.0,1,1.0
70-056,1.0,2,-1.0
71-001,0.0,1,-1.0
71-003,3.0,4,-1.0
71-004,4.0,5,-1.0
71-005,3.0,5,-2.0
71-006,2.0,4,-2.0
71-007,3.0,4,-1.0
71-008,1.0,1,0.0
71-009,1.0,2,-1.0
71-010,1.0,1,0.0
72-001,0.0,1,-1.0
72-002,1.0,2,-1.0
72-003,2.0,3,-1.0
72-005,1.0,2,-1.0
72-006,2.0,3,-1.0
72-007,2.0,3,-1.0
72-008,1.0,2,-1.0
72-009,1.0,3,-2.0
72-010,1.0,2,-1.0
72-011,2.0,3,-1.0
72-013,0.0,1,-1.0
72-014,1.0,2,-1.0
72-015,1.0,2,-1.0
72-016,1.0,2,-1.0
72-017,1.0,2,-1.0
72-018,2.0,3,-1.0
72-019,1.0,1,0.0
72-020,3.0,4,-1.0
72-021,2.0,3,-1.0
72-022,0.0,1,-1.0
72-023,2.0,3,-1.0
73-001,1.0,2,-1.0
73-002,0.0,1,-1.0
73-003,1.0,2,-1.0
73-004,1.0,2,-1.0
73-005,1.0,2,-1.0
73-006,0.0,1,-1.0
73-007,1.0,2,-1.0
73-008,0.0,1,-1.0
73-009,0.0,1,-1.0
73-010,1.0,2,-1.0
73-011,0.0,1,-1.0
73-013,1.0,2,-1.0
74-001,2.0,3,-1.0
74-002,1.0,2,-1.0
74-003,4.0,5,-1.0
74-004,2.0,3,-1.0
74-005,0.0,1,-1.0
74-006,0.0,1,-1.0
74-007,0.0,1,-1.0
74-009,3.0,4,-1.0
74-010,1.0,3,-2.0
74-011,0.0,1,-1.0
75-001,1.0,2,-1.0
75-002,3.0,4,-1.0
75-003,1.0,2,-1.0
75-004,1.0,2,-1.0
75-005,1.0,2,-1.0
76-001,3.0,4,-1.0
76-002,4.0,5,-1.0
76-003,0.0,1,-1.0
76-004,1.0,2,-1.0
76-005,4.0,1,3.0
76-006,2.0,3,-1.0
76-007,2.0,4,-2.0
76-009,3.0,4,-1.0
76-010,4.0,5,-1.0
76-011,4.0,5,-1.0
76-013,2.0,3,-1.0
76-014,4.0,5,-1.0
76-015,2.0,3,-1.0
76-016,2.0,3,-1.0
76-017,2.0,3,-1.0
76-019,2.0,3,-1.0
76-022,1.0,2,-1.0
76-023,1.0,2,-1.0
76-024,1.0,2,-1.0
76-025,2.0,3,-1.0
76-026,1.0,2,-1.0
76-027,3.0,5,-2.0
76-028,1.0,2,-1.0
76-029,3.0,3,0.0
76-031,5.0,6,-1.0
76-032,1.0,2,-1.0
76-033,12.0,13,-1.0
76-034,5.0,6,-1.0
76-036,1.0,2,-1.0
76-037,3.0,4,-1.0
76-038,2.0,3,-1.0
76-042,3.0,4,-1.0
76-043,2.0,1,1.0
76-044,1.0,2,-1.0
76-045,1.0,2,-1.0
76-046,2.0,3,-1.0
76-047,2.0,3,-1.0
76-048,2.0,3,-1.0
76-049,0.0,1,-1.0
77-001,1.0,2,-1.0
77-002,7.0,8,-1.0
77-003,1.0,1,0.0
77-005,1.0,2,-1.0
77-006,2.0,3,-1.0
77-007,1.0,2,-1.0
77-008,5.0,6,-1.0
77-009,1.0,2,-1.0
77-010,0.0,1,-1.0
77-011,5.0,6,-1.0
77-012,2.0,4,-2.0
77-013,3.0,4,-1.0
77-014,0.0,1,-1.0
