redcap_event_name,Blood,Urine,Stool,Milk,Cord Blood
Delivery,0.0,0.0,0.0,0.0,202.0
Infant (Month 10),0.0,0.0,41.0,0.0,0.0
Infant (Month 11),0.0,0.0,25.0,0.0,0.0
Maternal (Month 12),21.0,19.0,0.0,20.0,0.0
Infant (Month 12),20.0,0.0,18.0,0.0,0.0
Maternal (Month 1),176.0,173.0,0.0,173.0,0.0
Infant (Month 1),133.0,0.0,130.0,0.0,0.0
Infant (Month 2),0.0,0.0,111.0,0.0,0.0
Maternal (Month 3),0.0,0.0,0.0,69.0,0.0
Infant (Month 3),0.0,0.0,106.0,0.0,0.0
Infant (Month 4),0.0,0.0,91.0,0.0,0.0
Infant (Month 5),0.0,0.0,78.0,0.0,0.0
Maternal (Month 6),91.0,88.0,0.0,92.0,0.0
Infant (Month 6),86.0,0.0,77.0,0.0,0.0
Infant (Month 7),0.0,0.0,62.0,0.0,0.0
Infant (Month 8),0.0,0.0,58.0,0.0,0.0
Infant (Month 9),0.0,0.0,54.0,0.0,0.0
Week 20,421.0,416.0,0.0,0.0,0.0
Week 28,336.0,333.0,0.0,0.0,0.0
Week 36,258.0,258.0,0.0,0.0,0.0
