,redcap_event_name,Blood,,Urine,,Stool,,Milk,,Cord Blood,
,,Total,This week,Total,This week,Total,This week,Total,This week,Total,This week
1,Week 20,192,,191,,0,,0,,0,
2,Week 28,138,,137,,0,,0,,0,
3,Week 36,110,,110,,0,,0,,0,
4,Delivery,0,,0,,0,,0,,81,
5,Maternal (Month 1),86,,85,,0,,86,,0,
6,Infant (Month 1),71,,0,,61,,0,,0,
7,Infant (Month 2),0,,0,,53,,0,,0,
8,Maternal (Month 3),0,,0,,0,,25,,0,
9,Infant (Month 3),0,,0,,44,,0,,0,
10,Infant (Month 4),0,,0,,26,,0,,0,
11,Infant (Month 5),0,,0,,16,,0,,0,
12,Maternal (Month 6),15,,14,,0,,15,,0,
13,Infant (Month 6),11,,0,,10,,0,,0,
14,Infant (Month 7),0,,0,,3,,0,,0,
