redcap_event_name,Blood,Urine,Stool,Milk,Cord Blood
Delivery,0.0,0.0,0.0,0.0,85.0
Maternal (Month 1),91.0,90.0,0.0,90.0,0.0
Infant (Month 1),74.0,0.0,65.0,0.0,0.0
Infant (Month 2),0.0,0.0,58.0,0.0,0.0
Maternal (Month 3),0.0,0.0,0.0,28.0,0.0
Infant (Month 3),0.0,0.0,51.0,0.0,0.0
Infant (Month 4),0.0,0.0,39.0,0.0,0.0
Infant (Month 5),0.0,0.0,20.0,0.0,0.0
Maternal (Month 6),25.0,24.0,0.0,25.0,0.0
Infant (Month 6),12.0,0.0,16.0,0.0,0.0
Infant (Month 7),0.0,0.0,6.0,0.0,0.0
Infant (Month 8),0.0,0.0,2.0,0.0,0.0
Week 20,215.0,214.0,0.0,0.0,0.0
Week 28,151.0,148.0,0.0,0.0,0.0
Week 36,124.0,124.0,0.0,0.0,0.0
