field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
cons_recordid_q1,consent,,text,Q1) Study ID,,,,,,,,,,,,,
cons_visitdate_q2,consent,,text,2)Visit date,,,date_dmy,,,,,y,,,,,@TODAY
cons_illitpart_impertial_witness_q3,consent,,yesno,3) Has the participant been explained the study and had the chance to ask questions,,Please ensure illiterate participants have everything explained in the presence of an impartial witness,,,,,,y,,,,,
cons_obtained_q4,consent,,yesno,4) Was consent obtained,,,,,,,,y,,,,,
a_did_the_participant_refu,consent,,yesno,4a. Did the participant refuse consent ,,,,,,,[cons_obtained_q4]='0',,,,,,
msgstop,consent,,descriptive,"<center><font size=""3"" color=""red"">This participant is  not eligible. Do not  proceed with the paper based consenting!  </center>",,,,,,,[cons_illitpart_impertial_witness_q3]='0' or [cons_obtained_q4]='0',,,,,,
cons_dob_q5,consent,,text,5) Date of birth,,,date_dmy,,,,[cons_obtained_q4]='1',y,,,,,
dob,consent,,calc,"<center><font size=""3"" color=""green"">Age in Months:  </center>","round(datediff([cons_visitdate_q2],[cons_dob_q5],""M"",""dmy""),1)",,,,,,[cons_obtained_q4]='1',,,,,,
msg_agerange,consent,,descriptive,"<div class=""rich-text-field-label""><h2 style=""text-align: center;""><span style=""color: #e03e2d;"">The child cannot be enrolled; the age range is 6 to 12  months!</span></h2></div>",,,,,,,[dob]< 6 or [dob]> 12,,,,,,
cons_provided_infconsent_q7,consent,,dropdown,7) Who provided written informed consent?,"1, Mother | 2, Father | 3, Guardian",,,,,,[cons_obtained_q4]='1',y,,,,,
cons_participant_sign_q8,consent,,yesno,"8) If consented, has the participant signed / thumb-printed the form (with an impartial witness signature if necessary)? ",,,,,,,[cons_obtained_q4]='1',y,,,,,
cons_partsign_q9,consent,,descriptive,Q9) Make sure participant signs,,,,,,,[cons_obtained_q4]='1',,,,,,
cons_lang_cobtained_q10,consent,,dropdown,Q10) What language was the consent obtained in ,"1, Mandinka | 2, Wolof | 3, Fula | 5, Other",,,,,,[cons_obtained_q4]='1',y,,,,,
cons_agree_infantsamples_q11,consent,,yesno,Q11) Did the parent/guardian agree for their infant's samples to be shipped out of the Gambia,,,,,,,[cons_obtained_q4]='1',y,,,,,
cons_agree_subject_to_further_genetic_testing_q12,consent,,yesno,Q12) Did the parent/guardian agree for their infant's samples to be subject to further genetic testing ,,,,,,,[cons_obtained_q4]='1',y,,,,,
cons_scompletedid_q13,consent,,text,Q13) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
ass2,assessment_of_informed_consent_understanding,,text,Date of Assessment,,,date_dmy,,,,,y,,,,,@TODAY
q1,assessment_of_informed_consent_understanding,,radio,Q1) This study will examine iron supplements,"1, True | 0, False",,,,,,,y,,,,,
m1,assessment_of_informed_consent_understanding,,text,m1,,,number,0,1,,"if([q1] =1, [q1], 0)",,,,,,@HIDDEN
q2,assessment_of_informed_consent_understanding,,radio,Q2) This study requires that you come to the clinic for 2 visits,"1, True | 0, False",,,,,,,y,,,,,
m2,assessment_of_informed_consent_understanding,,text,m2,,,number,0,1,,"if([q2] =1, [q2], 0)",,,,,,@HIDDEN
q3,assessment_of_informed_consent_understanding,,radio,Q3) Iron will protect your infant from anaemia,"1, True | 0, False",,,,,,,y,,,,,
m3,assessment_of_informed_consent_understanding,,text,m3,,,number,0,1,,"if([q3] =1, [q3], 0)",,,,,,@HIDDEN
q4,assessment_of_informed_consent_understanding,,radio,Q4) Your infant participating in this study will receive daily iron or sugar drops,"1, True | 0, False",,,,,,,y,,,,,
m4,assessment_of_informed_consent_understanding,,text,m4,,,number,0,1,,"if([q4] =1, [q4], 0)",,,,,,@HIDDEN
