v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
2.83135,26.8734,45.4249,76.1098,97.0479,89.9423,68.7016,13.2677,57.3089,62.5278,22.417,30.1799,78.2547,12.89,61.3113,37.9504,16.5601,68.2682,18.427,22.5913
49.7633,47.6969,78.7692,73.9631,11.6494,47.4967,7.56019,25.1869,66.4614,6.52804,36.3933,3.51625,89.9485,12.9765,73.1268,64.0766,56.1727,67.3774,63.8238,48.9523
96.7437,27.5846,39.9995,15.6253,1.77593,97.4235,82.5518,46.5476,75.5714,76.4746,48.4546,88.734,93.783,55.071,14.7906,4.15938,39.1187,45.4474,13.9633,64.166
53.1565,49.3618,4.74205,3.65899,44.3217,79.6605,86.6526,27.7675,48.5697,63.2668,52.9368,43.5347,77.48,65.6269,73.412,49.1679,62.1505,87.1309,3.90094,9.9908
0.458421,19.1834,0.796668,28.1802,69.6039,99.7939,18.1637,55.241,77.7262,34.8457,86.2399,9.67699,95.8089,49.9019,50.9577,27.7155,26.4562,19.452,39.2392,30.3218
18.2116,20.196,6.91731,50.6818,63.8716,34.074,6.84326,37.4061,5.79911,71.4676,20.3032,13.6623,6.75194,41.8518,21.5394,47.8353,5.8953,34.2252,96.6161,72.7656
88.668,45.4485,35.949,94.6287,58.6013,2.34588,92.7565,99.4864,4.43141,96.7576,38.141,40.4996,53.5011,1.91033,57.6095,93.3895,99.615,61.8955,10.5935,61.5477
9.84485,31.2755,49.1067,72.6139,1.07737,7.51501,62.4418,34.1915,21.7209,77.8551,39.9221,53.7355,32.9222,4.56656,80.8989,60.1051,24.9617,90.7714,70.3993,2.75985
53.8465,8.47389,65.9877,45.8326,78.4546,1.50277,25.3268,72.7959,21.0668,11.8489,14.3688,90.6439,1.25442,55.1592,54.7491,73.9802,9.22391,87.5016,24.2369,66.4064
74.3744,71.11,61.435,23.1226,90.4754,8.52836,54.9157,20.2969,22.1504,3.09609,64.5385,35.3337,44.122,65.1798,79.7489,31.9327,80.6591,7.85636,18.9832,52.717
72.0738,78.2145,22.5397,77.5846,38.5052,78.0352,9.70778,8.41287,63.5233,27.483,83.1419,22.1198,11.7807,94.7031,86.2567,72.054,92.4473,60.2437,24.3906,57.8327
55.6778,37.2352,0.571197,71.5932,83.5132,17.1408,65.8461,85.9697,0.000602,20.6202,56.119,75.8532,84.9419,16.9659,1.71825,5.32201,49.8968,75.9284,52.807,70.4912
89.1565,92.6925,33.8294,12.6705,90.6128,53.6612,94.2557,73.6811,2.19942,29.7657,64.5196,46.3351,48.9101,80.9948,91.0818,88.1965,32.8009,70.3996,39.8238,41.357
68.3099,65.1984,5.63104,82.4429,94.0548,28.0842,60.2527,65.9292,98.4835,29.9757,91.0504,71.7333,93.4708,91.7412,53.1691,43.7264,65.8843,61.3303,54.3417,80.9991
76.3159,82.1761,62.8186,42.8381,16.3815,30.3701,52.1293,97.4841,97.5074,70.8486,91.0344,60.8468,58.9665,90.9066,71.0873,4.53,94.3602,19.2292,57.8978,51.2822
3.64651,21.0627,34.8966,3.40576,70.1913,7.56084,54.9738,53.4714,80.4589,43.4057,56.9645,98.7093,90.536,13.8588,45.8646,69.8809,76.2954,24.2482,28.6902,96.3241
45.6463,62.3855,83.2816,6.25836,38.5988,61.4701,39.8234,46.2135,2.09109,9.54256,48.6495,26.7662,13.3733,57.1588,49.8055,52.9843,58.6929,35.7178,96.6556,87.0044
56.8928,29.586,58.6401,34.0978,8.26866,96.4597,82.1349,57.292,27.6538,49.2954,59.0178,33.942,5.58014,45.1286,22.6186,78.8972,68.4246,5.47533,33.3037,88.8775
0.827395,66.5742,48.6087,43.3286,67.8448,80.0856,77.0471,76.9672,99.7302,81.2286,67.7264,3.8807,5.68566,92.674,2.19423,34.5079,46.0939,83.3121,18.6905,3.18428
76.5175,66.5086,9.32514,90.2096,33.3218,47.6909,90.7655,1.0445,96.4076,48.551,65.0525,10.8591,48.6032,83.7143,77.3969,69.8591,26.9743,30.1479,77.6819,15.3265
79.5365,36.016,38.9533,71.1061,71.5553,98.5756,13.9144,75.0085,24.517,5.65006,12.6021,74.279,94.9534,86.9756,27.2195,38.2598,90.7928,57.8203,93.9381,40.8257
52.3599,45.8726,84.5359,12.2208,19.1983,31.8011,66.2873,13.3301,49.8135,59.1153,54.7886,51.1189,10.233,34.7322,12.6712,36.2257,39.6757,19.1084,30.6935,38.3596
23.5573,66.6965,80.5409,99.3433,47.17,94.7357,92.3311,11.3028,86.591,44.7472,32.2919,26.6142,63.6446,73.7699,11.8355,36.3383,31.9906,78.396,77.0727,23.3753
63.4722,91.463,36.6068,67.2733,18.144,14.5394,36.2625,49.299,84.5127,57.9574,15.9133,98.5881,45.167,52.1442,23.0431,38.5576,56.3626,8.41064,81.0352,70.4201
62.6845,48.2713,26.2056,70.9136,39.0239,48.4948,51.8914,2.22123,3.77058,4.3915,80.2609,81.2925,69.4691,43.6365,87.0621,95.5425,13.744,38.2238,98.6686,40.7573
48.0011,57.9384,40.9313,71.7137,33.8893,23.7799,42.5122,5.77512,18.0177,20.7014,96.8998,27.9042,63.3488,97.3716,2.39578,76.1524,33.2577,29.3407,3.92611,64.5241
92.8464,48.5387,61.6181,36.3165,43.4408,71.4485,5.89028,14.9317,41.8763,44.993,89.8481,92.8716,45.2236,25.7747,48.5794,77.1247,57.9699,78.83,54.565,0.748006
56.0548,91.2648,13.425,51.958,98.0434,18.43,50.7265,5.28745,43.689,17.8654,4.71579,74.7245,93.7958,16.3536,9.75909,2.50789,18.2789,33.8163,33.8595,98.1613
49.7918,40.0281,25.7771,54.3122,46.1804,88.1567,99.3657,93.4692,47.4101,7.16007,54.3442,88.032,40.5094,72.6143,7.38414,53.1867,63.5453,53.3469,56.3842,43.425
2.88326,75.892,97.1571,35.9675,86.6972,60.0484,15.4952,20.4725,19.8694,24.4984,41.8964,86.5963,37.2801,61.8718,89.9771,44.6914,66.0127,24.7035,46.7145,89.6272
61.8773,80.8786,16.2729,10.1459,69.7925,40.7133,30.7426,97.5343,87.1996,79.3136,69.3929,50.0526,72.5679,26.4475,63.5226,8.76079,62.4197,90.2104,0.803462,83.6349
63.0212,36.3393,12.4004,9.75606,97.5776,31.866,46.9263,34.2147,0.022938,12.0819,12.2806,55.5587,87.731,83.7716,90.1156,24.6261,98.6355,15.4493,43.1708,28.9033
19.5716,56.9556,30.0393,98.253,5.56366,97.6027,87.1372,21.1126,86.6359,50.5528,11.1922,62.2712,44.2478,65.1679,11.5396,28.0772,33.4473,45.9311,35.7465,7.39935
71.7527,20.4906,62.649,56.8441,84.7771,87.0914,81.6981,4.89059,9.35938,93.9735,83.9774,21.0188,29.913,15.0021,8.55447,34.6455,28.661,45.981,93.767,84.0763
75.5746,44.0281,24.692,1.7546,19.3842,75.2447,54.2813,34.6824,89.5533,85.6731,86.7547,30.4039,31.3412,66.8333,68.2309,20.0118,26.7359,82.0261,56.5387,62.8649
53.5205,95.2653,58.3052,99.3683,21.485,42.0835,33.3777,61.9131,75.2049,14.2324,73.1864,26.9126,87.9661,93.6141,46.847,2.8159,89.5025,73.9199,34.7367,0.033464
15.2176,13.5417,60.6095,21.737,66.8242,35.1187,38.8653,62.888,63.9268,62.9852,34.4371,70.9741,45.4791,10.0825,86.9047,41.2158,36.4769,97.6319,1.76527,20.0793
32.552,8.44615,18.6579,84.1776,7.72732,33.0647,92.4363,36.0289,47.362,17.263,2.04283,11.7973,19.8615,47.4283,90.724,85.4568,30.3798,29.6731,71.7704,55.3947
14.8571,44.6946,82.857,0.539133,93.9884,1.02847,34.709,67.0104,57.2507,74.3439,20.9471,38.7335,44.2355,95.2786,49.4763,59.4329,14.9581,60.6724,90.2237,87.6203
3.02944,93.5027,69.5607,87.2533,70.0903,43.5565,80.8804,31.2172,52.2356,92.4306,39.9083,49.1795,19.1019,27.2482,28.8306,39.0699,52.7704,21.1312,52.8199,46.9326
51.9461,4.35363,1.91383,20.3359,66.0594,39.4238,11.5156,23.9336,64.7484,64.025,6.29418,78.7887,39.2587,13.1745,23.6895,82.7067,71.0183,4.26898,17.7494,10.6721
11.7554,5.6467,65.1789,7.34247,16.549,51.6092,28.509,54.1168,27.541,23.5801,50.4222,40.6317,31.2555,31.2116,94.2809,47.4679,71.4168,42.865,47.3383,1.72283
66.4182,75.7867,64.0096,71.228,13.6184,75.0344,33.3845,65.4437,41.5605,53.6964,62.3186,84.0956,57.8102,74.7454,58.7408,15.6326,32.7497,44.129,25.831,49.7602
76.7212,39.7318,80.8507,80.5774,63.3847,16.3077,91.8791,95.6977,18.9811,18.7256,45.5302,4.4507,96.0391,47.6063,24.1235,52.628,45.5879,37.637,83.3445,16.7038
2.55137,14.1742,76.0361,1.46452,24.0045,4.61443,46.079,95.7176,13.597,3.98977,80.1752,49.7119,78.7615,57.6996,41.4071,58.7789,10.7101,34.3718,66.3202,98.4662
39.6059,89.8803,87.8041,99.4237,97.0283,46.217,60.9883,91.3867,8.70482,58.1154,15.9767,8.73854,43.8076,1.21832,18.7898,31.6652,59.2664,91.9009,28.3423,75.2892
87.135,40.1027,97.0081,37.919,13.3818,44.4134,79.8055,11.9234,90.7922,14.0945,64.1718,49.7973,96.6856,92.3766,30.3485,84.3468,11.7777,80.6684,37.6364,61.5739
49.4215,83.1084,50.6229,22.9968,75.796,44.0281,41.579,21.4049,92.9281,88.3262,87.7964,46.8176,88.7831,70.4791,1.5591,15.0222,16.6519,50.0721,68.6283,29.2515
78.0808,78.9221,86.628,10.5198,27.9799,91.8144,41.1289,93.386,87.124,48.449,11.6866,2.40989,57.1011,4.47517,65.7521,22.3121,54.068,48.3169,33.0925,20.544
86.1983,47.5797,90.1953,33.4812,93.2888,39.9219,36.0687,25.7957,25.6032,64.9099,90.3585,80.9579,44.0704,84.1083,8.92261,60.7203,28.3044,61.2598,48.7489,80.3528
2.46702,31.0482,68.2052,65.1031,7.40963,43.6227,19.5698,68.7308,92.4255,22.1303,31.2736,89.5853,75.6573,19.2051,53.5149,57.949,75.9728,57.7166,35.7577,1.18313
90.5591,51.3578,52.377,63.0594,74.5881,84.3511,45.8064,13.8707,85.4451,52.0857,51.2096,60.9685,10.5436,94.7831,37.64,54.0848,47.0706,41.1621,67.4681,92.2507
62.0972,75.95,23.525,44.3073,21.7331,14.1009,76.7693,31.7387,8.20821,99.1181,50.7334,34.4768,50.5955,8.68208,45.6049,11.3841,29.708,66.3945,60.1387,92.5453
50.7707,33.8752,92.6249,38.5415,13.8736,31.9621,33.8617,56.6544,71.6949,58.656,4.65598,87.3949,13.873,82.8202,36.2588,38.2108,58.8017,84.1613,32.8462,85.2707
88.4565,46.1601,2.39885,69.4876,38.1302,97.6689,21.2109,45.6021,54.3674,93.451,13.4814,84.4246,43.2008,73.2049,17.967,63.7037,27.9174,58.232,69.1316,21.4472
59.7133,13.1576,93.5674,46.8678,35.0753,20.2418,12.2212,43.0116,59.7616,48.0599,68.0016,42.3411,47.8158,71.9489,42.9705,11.8599,42.9099,31.6991,97.2229,93.4978
43.335,72.3158,43.0023,56.34,54.1756,63.9045,12.4147,96.9115,84.8772,70.217,93.9213,13.089,1.69053,0.277715,35.0904,0.23266,82.2717,69.4264,31.8554,64.3288
65.9411,45.5755,83.1612,7.35537,72.9553,67.7816,52.7564,7.5694,98.9929,94.224,73.4953,63.1433,89.3326,92.1093,16.95,83.2775,37.2142,27.312,24.5542,59.7828
44.8146,29.5047,34.2592,14.0824,73.3324,65.6815,30.2462,63.9839,87.6394,75.9603,47.83,93.5788,14.0369,13.9651,93.4431,0.66027,8.16513,91.333,58.709,50.852
54.6588,61.2057,32.6776,30.1986,52.3227,30.2856,72.3093,57.6931,96.6741,2.91284,34.1573,3.45466,60.3477,35.6269,23.0117,55.8083,56.057,23.0289,53.7469,80.1706
41.3813,17.3471,13.5558,42.333,97.3551,23.2638,57.7444,24.6723,14.121,67.8259,20.0466,25.7396,26.9597,70.8923,92.8142,70.0493,20.7929,34.9574,82.2898,22.6471
8.21636,71.3389,63.5643,33.3847,31.4155,50.1236,39.4604,95.7336,55.9309,84.5813,32.6685,83.0888,59.1169,50.3879,5.11375,30.5448,19.2394,38.7707,6.97906,21.6141
36.7721,6.63682,5.74349,14.0754,23.5209,89.6833,91.4479,73.8136,27.0733,14.0264,48.4708,40.3006,82.567,58.7769,38.9476,28.7126,62.5201,99.0704,67.3667,44.1299
23.7809,29.2269,28.562,84.5848,40.8546,77.9155,70.2987,93.5959,47.4824,47.1501,48.7503,8.16362,95.9065,14.7875,53.3668,54.7419,8.46178,26.6805,93.3431,44.9999
27.676,67.5473,41.3512,31.3613,32.4875,88.7845,2.55985,99.4997,67.737,54.4895,63.0289,61.7159,7.79738,9.62384,84.5328,0.559099,61.4496,39.632,68.1661,89.9112
82.5571,40.842,28.5195,58.3078,47.2373,62.1801,87.4032,61.4768,62.4481,0.67647,26.7298,25.8165,49.8846,15.0937,89.9891,56.2083,9.76122,71.0299,52.2116,0.993776
36.8471,42.4385,60.8505,64.881,58.5735,35.7034,63.0436,51.6244,5.61004,91.3226,64.3647,1.35484,80.1572,60.7847,94.5003,9.14405,47.8276,55.0772,79.9194,44.8579
93.1971,84.33,12.8543,63.4622,33.8963,42.7183,11.6192,64.0431,56.4421,58.6589,9.22698,89.9156,49.5319,90.8191,42.1625,22.356,43.5797,26.0248,28.7701,3.49567
48.0977,6.2113,83.0254,94.6081,39.3846,31.5101,17.6297,56.3551,47.925,7.13538,4.96872,97.0629,5.2891,85.141,27.6845,37.983,22.1318,13.9344,77.7931,55.0904
