cons_recordid_q1,Total_ips_combined,total_IP_issued,balance
IDeA30003H,71,84,13
IDeA30004F,72,84,12
IDeA30008E,75,84,9
IDeA30010B,69,84,15
IDeA30012F,77,84,7
IDeA30017E,51,84,33
IDeA30020H,75,84,9
IDeA30021A,78,84,6
IDeA30022K,83,84,1
IDeA30023C,79,84,5
IDeA30024B,80,84,4
IDeA30026E,29,84,55
IDeA30028G,33,84,51
IDeA30029D,85,84,-1
IDeA30030J,80,84,4
IDeA30031K,74,84,10
IDeA30037A,83,84,1
IDeA30042H,82,84,2
IDeA30043E,74,84,10
IDeA30045A,73,84,11
IDeA30049B,81,84,3
IDeA30051F,80,84,4
IDeA30052J,84,84,0
IDeA30059A,75,84,9
IDeA30063J,77,84,7
IDeA30064G,70,84,14
IDeA30065B,81,84,3
IDeA30066H,84,84,0
IDeA30070F,76,84,8
IDeA30071J,84,84,0
IDeA30073K,80,84,4
IDeA30074H,84,84,0
IDeA30081B,84,84,0
IDeA30085E,76,84,8
IDeA30089J,76,84,8
IDeA30090E,81,84,3
IDeA30095H,56,84,28
IDeA30097D,22,84,62
IDeA30098F,56,84,28
IDeA30101A,84,84,0
IDeA30103C,80,84,4
IDeA30109D,83,84,1
IDeA30110J,1,84,83
IDeA30121G,45,84,39
IDeA30131D,81,84,3
IDeA30135K,70,84,14
IDeA30146G,83,84,1
IDeA30148K,83,84,1
IDeA30154G,84,84,0
IDeA30159F,80,84,4
IDeA30160B,78,84,6
IDeA30164K,64,84,20
IDeA30165J,69,84,15
IDeA30169G,83,84,1
IDeA30176F,82,84,2
IDeA30179J,81,84,3
IDeA30180E,77,84,7
IDeA30181C,77,84,7
IDeA30186B,83,84,1
IDeA30188F,78,84,6
IDeA30189K,74,84,10
IDeA30191J,36,84,48
IDeA30192G,84,84,0
IDeA30193K,2,84,82
IDeA30194H,84,84,0
IDeA30196A,75,84,9
IDeA30201K,61,84,23
IDeA30210A,79,84,5
IDeA30212B,66,84,18
IDeA30213H,78,84,6
IDeA30221F,79,84,5
IDeA30223B,84,84,0
IDeA30224E,59,84,25
IDeA30228K,84,84,0
IDeA30232A,84,84,0
IDeA30235H,79,84,5
IDeA30236B,85,84,-1
IDeA30237D,79,84,5
IDeA30238F,75,84,9
IDeA30239K,79,84,5
IDeA30240H,84,84,0
IDeA30243C,83,84,1
IDeA30255A,76,84,8
IDeA30257F,81,84,3
IDeA30260G,83,84,1
IDeA30265E,66,84,18
IDeA30273J,74,84,10
IDeA30277C,2,84,82
IDeA30278A,81,84,3
IDeA30280F,81,84,3
IDeA30290B,10,84,74
IDeA30294K,0,84,84
IDeA30298C,1,84,83
IDeA30299G,70,84,14
IDeA30300K,75,84,9
IDeA30301E,74,84,10
IDeA30316G,75,84,9
IDeA30317H,68,84,16
IDeA30318K,85,84,-1
IDeA30327K,72,84,12
IDeA30328H,75,84,9
IDeA30330D,84,84,0
IDeA30334C,84,84,0
IDeA30342F,84,84,0
IDeA30343A,76,84,8
IDeA30347E,83,84,1
IDeA30351J,77,84,7
IDeA30352G,83,84,1
IDeA30353K,83,84,1
IDeA30359E,81,84,3
IDeA30361C,79,84,5
IDeA30362A,83,84,1
IDeA30363G,75,84,9
IDeA30364J,83,84,1
IDeA30365H,84,84,0
IDeA30370A,77,84,7
IDeA30374F,72,84,12
IDeA30376J,31,84,53
IDeA30377G,75,84,9
